RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603127076813	teste	3.0.2
REQUEST	78		request_2	1603127105744	1603127109730	OK	 
REQUEST	78		request_5	1603127105745	1603127109735	OK	 
REQUEST	26		request_10	1603127104589	1603127109736	OK	 
REQUEST	59		request_2	1603127104995	1603127109765	OK	 
REQUEST	44		request_0	1603127091905	1603127109765	OK	 
REQUEST	42		request_11	1603127104021	1603127109765	OK	 
REQUEST	25		request_11	1603127103972	1603127109773	OK	 
REQUEST	7		request_11	1603127089622	1603127109787	OK	 
REQUEST	61		request_10	1603127104625	1603127109788	OK	 
REQUEST	51		request_11	1603127104014	1603127109805	OK	 
REQUEST	67		request_18	1603127104973	1603127109822	OK	 
REQUEST	46		request_11	1603127103955	1603127109822	OK	 
REQUEST	25		request_13	1603127103973	1603127109822	OK	 
REQUEST	61		request_2	1603127104624	1603127109822	OK	 
REQUEST	25		request_10	1603127103972	1603127109823	OK	 
REQUEST	67		request_5	1603127104971	1603127109830	OK	 
REQUEST	76		request_13	1603127105423	1603127109840	OK	 
USER	AcessoMercadoAzul1	104	START	1603127109904	1603127109904
REQUEST	34		request_12	1603127104591	1603127109982	OK	 
REQUEST	67		request_12	1603127104972	1603127110031	OK	 
REQUEST	28		request_2	1603127104019	1603127110095	OK	 
REQUEST	25		request_12	1603127103973	1603127110096	OK	 
REQUEST	44		request_1	1603127109766	1603127110116	OK	 
REQUEST	11		request_5	1603127084582	1603127110116	OK	 
REQUEST	64		request_10	1603127104021	1603127110137	OK	 
USER	AcessoMercadoAzul1	105	START	1603127110154	1603127110154
REQUEST	64		request_11	1603127104021	1603127110156	OK	 
REQUEST	52		request_2	1603127108097	1603127110163	OK	 
REQUEST	40		request_2	1603127104646	1603127110203	OK	 
REQUEST	66		request_10	1603127103959	1603127110213	OK	 
REQUEST	52		request_11	1603127108098	1603127110269	OK	 
REQUEST	58		request_2	1603127106893	1603127110270	OK	 
REQUEST	45		request_10	1603127104996	1603127110315	OK	 
REQUEST	102		request_0	1603127109404	1603127110472	OK	 
USER	AcessoMercadoAzul1	106	START	1603127110494	1603127110494
REQUEST	60		request_1	1603127104548	1603127110502	OK	 
REQUEST	52		request_10	1603127108098	1603127110633	OK	 
REQUEST	30		request_2	1603127108673	1603127110729	OK	 
REQUEST	59		request_5	1603127104995	1603127110730	OK	 
REQUEST	59		request_10	1603127104996	1603127110804	OK	 
USER	AcessoMercadoAzul1	107	START	1603127110824	1603127110824
