RUN	basic.ListarAnuncios2	listaranuncios2	1603205856681	teste	3.0.2
REQUEST	55		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880121	1603205886291	OK	 
REQUEST	74		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885188	1603205886293	OK	 
REQUEST	100		css?family=Roboto:700,500,400,300,600&display=swap	1603205875088	1603205886290	OK	 
REQUEST	16		request_0	1603205859050	1603205886293	OK	 
REQUEST	37		request_0	1603205859062	1603205886293	OK	 
REQUEST	82		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885213	1603205886297	OK	 
REQUEST	52		request_14	1603205885187	1603205886295	OK	 
REQUEST	98		css?family=Roboto:700,500,400,300,600&display=swap	1603205885275	1603205886302	OK	 
REQUEST	56		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885183	1603205886298	OK	 
REQUEST	84		css?family=Roboto:700,500,400,300,600&display=swap	1603205885237	1603205886301	OK	 
REQUEST	46		request_14	1603205865059	1603205886308	OK	 
REQUEST	26		css?family=Roboto:700,500,400,300,600&display=swap	1603205875088	1603205886310	OK	 
REQUEST	65		css?family=Roboto:700,500,400,300,600&display=swap	1603205885359	1603205886306	OK	 
REQUEST	8		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885242	1603205886313	OK	 
REQUEST	76		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885209	1603205886313	OK	 
REQUEST	33		css?family=Roboto:700,500,400,300,600&display=swap	1603205885269	1603205886313	OK	 
REQUEST	52		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885205	1603205886313	OK	 
REQUEST	55		css?family=Roboto:700,500,400,300,600&display=swap	1603205875090	1603205886294	OK	 
REQUEST	92		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885221	1603205886315	OK	 
REQUEST	100		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880131	1603205886315	OK	 
REQUEST	40		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885279	1603205886315	OK	 
REQUEST	92		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885221	1603205886318	OK	 
REQUEST	84		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885238	1603205886318	OK	 
REQUEST	39		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885189	1603205886318	OK	 
REQUEST	100		request_14	1603205865918	1603205886319	OK	 
REQUEST	5		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880122	1603205886322	OK	 
