RUN	basic.ListarAnuncios	listaranuncios	1603286431127	teste	3.0.2
REQUEST	62		req_login_iframe	1603286453798	1603286454006	OK	 
REQUEST	170		Gerar Token	1603286433474	1603286454006	OK	 
REQUEST	43		request_3	1603286453801	1603286454031	OK	 
REQUEST	199		request_3	1603286453796	1603286454031	OK	 
REQUEST	29		request_4	1603286453797	1603286454031	OK	 
REQUEST	193		request_4	1603286453808	1603286454031	OK	 
REQUEST	62		request_3	1603286453797	1603286454032	OK	 
REQUEST	100		request_4	1603286453798	1603286454032	OK	 
REQUEST	62		request_4	1603286453797	1603286454032	OK	 
REQUEST	199		request_4	1603286453798	1603286454032	OK	 
REQUEST	93		request_4	1603286453812	1603286454032	OK	 
REQUEST	43		request_4	1603286453801	1603286454032	OK	 
REQUEST	166		request_4	1603286453800	1603286454032	OK	 
REQUEST	100		request_3	1603286453798	1603286454032	OK	 
REQUEST	194		request_4	1603286453797	1603286454032	OK	 
REQUEST	2		request_3	1603286453805	1603286454033	OK	 
REQUEST	182		request_4	1603286453811	1603286454033	OK	 
REQUEST	21		request_4	1603286453806	1603286454033	OK	 
REQUEST	21		request_3	1603286453805	1603286454033	OK	 
REQUEST	53		request_4	1603286453798	1603286454034	OK	 
REQUEST	53		request_3	1603286453798	1603286454034	OK	 
REQUEST	165		request_3	1603286453815	1603286454052	OK	 
REQUEST	16		request_0	1603286453774	1603286454052	OK	 
REQUEST	190		Gerar Token	1603286433477	1603286454052	OK	 
REQUEST	101		request_3	1603286453819	1603286454073	OK	 
REQUEST	77		request_3	1603286453817	1603286454073	OK	 
REQUEST	11		request_3	1603286453815	1603286454073	OK	 
REQUEST	101		request_4	1603286453819	1603286454073	OK	 
REQUEST	165		request_4	1603286453815	1603286454073	OK	 
REQUEST	59		request_3	1603286453811	1603286454073	OK	 
REQUEST	93		request_3	1603286453812	1603286454073	OK	 
REQUEST	107		request_3	1603286453824	1603286454074	OK	 
REQUEST	197		request_3	1603286453827	1603286454074	OK	 
REQUEST	13		request_4	1603286453823	1603286454074	OK	 
REQUEST	27		request_3	1603286453819	1603286454074	OK	 
REQUEST	2		request_4	1603286453806	1603286454076	OK	 
REQUEST	182		request_3	1603286453811	1603286454077	OK	 
REQUEST	22		request_3	1603286453825	1603286454094	OK	 
REQUEST	19		req_login_iframe	1603286453797	1603286454094	OK	 
REQUEST	36		req_login_iframe	1603286453806	1603286454094	OK	 
REQUEST	107		request_4	1603286453825	1603286454109	OK	 
REQUEST	100		req_login_iframe	1603286453799	1603286454109	OK	 
REQUEST	2		req_login_iframe	1603286453806	1603286454109	OK	 
REQUEST	13		req_login_iframe	1603286453823	1603286454109	OK	 
REQUEST	109		Gerar Token	1603286433462	1603286454109	OK	 
REQUEST	13		request_3	1603286453822	1603286454110	OK	 
REQUEST	2		req_login_iframe	1603286453806	1603286454129	OK	 
REQUEST	197		req_login_iframe	1603286453828	1603286454129	OK	 
REQUEST	100		req_login_iframe	1603286453800	1603286454129	OK	 
REQUEST	61		request_4	1603286453829	1603286454129	OK	 
REQUEST	182		req_login_iframe	1603286453812	1603286454129	OK	 
REQUEST	52		req_login_iframe	1603286453812	1603286454129	OK	 
REQUEST	59		request_4	1603286453811	1603286454129	OK	 
REQUEST	11		request_4	1603286453816	1603286454129	OK	 
REQUEST	5		req_login_iframe	1603286453833	1603286454129	OK	 
REQUEST	27		request_4	1603286453820	1603286454130	OK	 
REQUEST	197		request_4	1603286453827	1603286454130	OK	 
REQUEST	48		Gerar Token	1603286433447	1603286454130	OK	 
REQUEST	5		request_3	1603286453832	1603286454130	OK	 
REQUEST	194		req_login_iframe	1603286453798	1603286454130	OK	 
REQUEST	194		req_login_iframe	1603286453798	1603286454131	OK	 
REQUEST	36		req_login_iframe	1603286453806	1603286454135	OK	 
REQUEST	77		request_4	1603286453817	1603286454135	OK	 
REQUEST	22		request_4	1603286453826	1603286454135	OK	 
REQUEST	5		request_4	1603286453832	1603286454135	OK	 
REQUEST	181		request_3	1603286453836	1603286454147	OK	 
REQUEST	61		request_3	1603286453828	1603286454147	OK	 
REQUEST	181		request_4	1603286453836	1603286454148	OK	 
REQUEST	6		request_0	1603286453784	1603286454148	OK	 
REQUEST	5		req_login_iframe	1603286453833	1603286454148	OK	 
REQUEST	16		request_1	1603286454054	1603286454150	OK	 
REQUEST	22		req_login_iframe	1603286453827	1603286454153	OK	 
REQUEST	61		req_login_iframe	1603286453829	1603286454156	OK	 
REQUEST	43		req_login_iframe	1603286453801	1603286454175	OK	 
REQUEST	62		req_login_iframe	1603286453799	1603286454175	OK	 
REQUEST	77		req_login_iframe	1603286453818	1603286454175	OK	 
REQUEST	16		req_login_iframe	1603286454055	1603286454175	OK	 
REQUEST	166		req_login_iframe	1603286453801	1603286454176	OK	 
REQUEST	101		req_login_iframe	1603286453819	1603286454176	OK	 
REQUEST	166		req_login_iframe	1603286453801	1603286454176	OK	 
REQUEST	61		req_login_iframe	1603286453829	1603286454176	OK	 
REQUEST	13		req_login_iframe	1603286453824	1603286454176	OK	 
REQUEST	197		req_login_iframe	1603286453828	1603286454176	OK	 
REQUEST	101		req_login_iframe	1603286453820	1603286454177	OK	 
REQUEST	77		req_login_iframe	1603286453818	1603286454194	OK	 
REQUEST	19		req_login_iframe	1603286453797	1603286454194	OK	 
REQUEST	43		req_login_iframe	1603286453801	1603286454194	OK	 
REQUEST	52		req_login_iframe	1603286453812	1603286454194	OK	 
REQUEST	22		req_login_iframe	1603286453826	1603286454195	OK	 
REQUEST	182		req_login_iframe	1603286453812	1603286454196	OK	 
REQUEST	6		request_1	1603286454150	1603286454213	OK	 
REQUEST	178		request_0	1603286453885	1603286454214	OK	 
REQUEST	151		Gerar Token	1603286433471	1603286454214	OK	 
REQUEST	198		request_0	1603286453884	1603286454220	OK	 
