RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603129416590	teste script acesso mercado azul	3.0.2
USER	AcessoMercadoAzul1	76	START	1603129441192	1603129441192
REQUEST	54		request_0	1603129434593	1603129441192	OK	 
REQUEST	71		request_1	1603129440978	1603129441197	OK	 
REQUEST	31		request_2	1603129440402	1603129441198	OK	 
REQUEST	21		request_2	1603129439704	1603129441200	OK	 
REQUEST	23		request_12	1603129440227	1603129441211	OK	 
REQUEST	34		request_2	1603129436368	1603129441232	OK	 
REQUEST	69		request_2	1603129440582	1603129441233	OK	 
REQUEST	30		request_5	1603129440403	1603129441233	OK	 
REQUEST	68		request_5	1603129440229	1603129441233	OK	 
REQUEST	68		request_2	1603129440228	1603129441233	OK	 
REQUEST	69		request_5	1603129440583	1603129441252	OK	 
REQUEST	32		request_13	1603129436374	1603129441271	OK	 
REQUEST	23		request_5	1603129440223	1603129441271	OK	 
REQUEST	24		request_21	1603129441032	1603129441271	OK	 
REQUEST	21		request_10	1603129439704	1603129441272	OK	 
REQUEST	45		request_2	1603129436355	1603129441279	OK	 
